Codigo_Participante,Fecha,ID,Resultado,Observaciones,Ajuste_Propuesto
MC-P01,2026-08-29,RNF-EXP-C01,Confirmado,"La personalización por objetivos, necesidades y condiciones particulares está respaldada por WALK-TEC-02-F006, WALK-TEC-02-F007 y WALK-NTEC-03-F003.",
MC-P01,2026-08-29,RNF-EXP-C02,Ajustado,"Se respalda la validación por entrenador y la posible procedencia profesional externa, pero no los tres estados específicos ni el rol de la última validación.","Toda rutina asignada o propuesta deberá indicar si ha sido revisada o validada por un entrenador autorizado y, cuando exista una indicación profesional externa registrada, identificar dicha procedencia como contexto relevante de la rutina."
MC-P01,2026-08-29,RNF-EXP-C03,Ajustado,"El historial, la consulta y la fecha tienen respaldo; el resumen comparativo de cambios entre versiones no aparece en las evidencias.","Permitir consultar la rutina vigente y el historial de rutinas registradas, mostrando la fecha y las observaciones asociadas cuando estén disponibles."
MC-P01,2026-08-29,RNF-EXP-C04,Ajustado,"Existe respaldo para orientación y comprensibilidad de criterios de asignación, pero no para asumir un recomendador ya implementado ni para exigir comparación frente a otras alternativas.","Cuando el sistema proporcione orientación para seleccionar una rutina inicial o realice una asignación automática de una rutina o clase, deberá mostrar de forma breve el criterio principal utilizado para realizar dicha orientación o asignación."
MC-P02,2026-08-29,RNF-EXP-C01,Confirmado,"Los fragmentos respaldan que las rutinas dependen de los objetivos, necesidades y condiciones particulares del cliente, por lo que resulta razonable mostrar ese contexto.",
MC-P02,2026-08-29,RNF-EXP-C02,Confirmado,La revisión por entrenador y la existencia de indicaciones profesionales externas respaldan mostrar la procedencia y el estado de revisión de la rutina.,
MC-P02,2026-08-29,RNF-EXP-C03,Ajustado,"El historial, las observaciones y la fecha están respaldados, pero no se solicita explícitamente un resumen comparativo respecto de la versión anterior.",Permitir consultar las rutinas registradas y mostrar la fecha y las observaciones asociadas a cada una cuando estén disponibles.
MC-P02,2026-08-29,RNF-EXP-C04,Ajustado,"Se respalda explicar el criterio de orientación o asignación, pero no la comparación contra otras alternativas ni la existencia previa de un recomendador automático.","Cuando el sistema sugiera una rutina inicial o realice una asignación automática de una rutina o clase, deberá mostrar de forma breve el criterio utilizado para realizar dicha sugerencia o asignación."
MC-P03,2026-08-29,RNF-EXP-C01,Ajustado,"Se respalda explicar el objetivo, necesidad y restricciones relevantes de la rutina, pero la referencia general a observaciones amplía la evidencia disponible.","El componente propuesto deberá mostrar el objetivo o necesidad principal asociada a la rutina y, cuando existan, las restricciones relevantes registradas para el cliente."
MC-P03,2026-08-29,RNF-EXP-C02,Confirmado,"La revisión por entrenador y la posible procedencia profesional externa respaldan razonablemente mostrar procedencia, estado y responsabilidad de validación.",
MC-P03,2026-08-29,RNF-EXP-C03,Ajustado,"Se respalda consultar un historial con fechas y observaciones, pero no generar automáticamente un resumen de diferencias entre versiones.","Permitir consultar la rutina vigente y las rutinas previas registradas, mostrando su fecha y las observaciones disponibles."
MC-P03,2026-08-29,RNF-EXP-C04,Ajustado,"Se respalda explicar el criterio de una orientación o eventual asignación automática, pero no justificar una opción mediante comparación con otras alternativas.","Cuando el sistema proporcione una orientación para seleccionar una rutina inicial o realice una asignación automática de una rutina o clase, deberá mostrar de forma breve el criterio principal utilizado para realizarla."
