archivo,columna,tipo,unidad,rango_o_valores,valores_perdidos,procedencia,descripcion
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,ID_RNF,texto/categórico,no aplica,RNF-EXP-C01 | RNF-EXP-C02 | RNF-EXP-C03 | RNF-EXP-C04,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Identificador del candidato de RNF de explicabilidad antes de su normalización terminal.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Enunciado_RNF,texto/categórico,no aplica,texto libre o identificador; 4 valores distintos observados,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Enunciado textual del candidato o RNF de explicabilidad evaluado.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Que_se_explica,texto/categórico,no aplica,texto libre o identificador; 4 valores distintos observados,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,"Elemento, decisión o contenido del sistema que debe ser explicado al usuario."
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,A_quien,texto/categórico,no aplica,"Cliente e instructor autorizado. | Instructor y, cuando corresponda, cliente.",0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Rol o grupo de usuarios destinatario de la explicación.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Formato,texto/categórico,no aplica,"Etiqueta de estado y texto breve de procedencia en la cabecera de la rutina. | Historial cronológico de rutinas con fecha y observaciones disponibles. | Resumen visible en la vista de la rutina, en lenguaje claro y no técnico. | Texto breve 'Motivo de la recomendación' asociado a la sugerencia.",0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Forma de presentación prevista para comunicar la explicación en la interfaz.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Momento,texto/categórico,no aplica,Al consultar la recomendación y antes de aceptarla o aplicarla. | Al consultar la rutina vigente o el historial de rutinas. | Antes de que la rutina sea utilizada por el cliente. | En el momento de mostrar la sugerencia y antes de confirmarla.,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Momento del flujo de uso en el que debe mostrarse la explicación.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Metrica,texto/categórico,no aplica,texto libre o identificador; 4 valores distintos observados,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Métrica definida para operacionalizar el candidato o RNF.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Umbral,texto/categórico,no aplica,texto libre o identificador; 4 valores distintos observados,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Umbral de aceptación definido para la métrica.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Metodo_Comprobacion,texto/categórico,no aplica,texto libre o identificador; 4 valores distintos observados,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Procedimiento previsto para comprobar el RNF.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Fuentes,texto/categórico,no aplica,WALK-NTEC-01-F008; WALK-TEC-03-F014; WALK-TEC-02-F006 | WALK-TEC-01-F003; WALK-TEC-01-F014 | WALK-TEC-02-F006; WALK-TEC-02-F007; WALK-NTEC-03-F003 | WALK-TEC-02-F008; WALK-TEC-02-F009,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Identificadores de fragmentos WALK que sustentan empíricamente el candidato o RNF.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Estado,texto/categórico,no aplica,Validado_con_ajustes_member_checking,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Estado del candidato RNF después de la revisión y consolidación mediante member checking.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Riesgo_Interpretacion,texto/categórico,no aplica,Bajo | Medio,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Nivel cualitativo de riesgo de interpretar incorrectamente la necesidad de explicabilidad.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Nota,texto/categórico,no aplica,texto libre o identificador; 4 valores distintos observados,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Nota analítica complementaria asociada al candidato o RNF.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Resultado_Member_Checking,texto/categórico,no aplica,0 Confirmado; 3 Ajustado | 2 Confirmado; 1 Ajustado,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Resumen de confirmaciones y ajustes obtenidos durante el member checking.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Decision_Final,texto/categórico,no aplica,Incorporar_con_ajuste,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,"Decisión adoptada sobre la incorporación, ajuste o descarte del candidato tras el member checking."
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Fecha_Member_Checking,fecha/fecha-hora,no aplica,2026-08-29,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Fecha en la que se realizó o documentó el member checking asociado.
datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Nota_Member_Checking,texto/categórico,no aplica,texto libre o identificador; 4 valores distintos observados,0 de 4,Copia de 06_Experimento/datos_crudos/candidatos_RNF_explicabilidad_member_checked.csv,Observación final derivada de la revisión de participantes durante el member checking.
datos_crudos/codificacion_walkthroughs.csv,ID_Registro,texto/categórico,no aplica,texto libre o identificador; 76 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Identificador único del fragmento codificado dentro del corpus de walkthroughs.
datos_crudos/codificacion_walkthroughs.csv,Codigo_Sesion,texto/categórico,no aplica,WALK-NTEC-01 | WALK-NTEC-02 | WALK-NTEC-03 | WALK-TEC-01 | WALK-TEC-02 | WALK-TEC-03,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Identificador estable y seudonimizado de la sesión empírica.
datos_crudos/codificacion_walkthroughs.csv,Perfil,texto/categórico,no aplica,No tecnico | Tecnico,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Agrupación descriptiva técnica o no técnica usada en walkthroughs.
datos_crudos/codificacion_walkthroughs.csv,Rol_Contexto,texto/categórico,no aplica,Dueno del gimnasio | Ingenieria de software | Ingenieria de software y bases de datos | Instructor/entrenador | Recepcionista,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Rol funcional o contexto profesional de la persona participante en la sesión WALK.
datos_crudos/codificacion_walkthroughs.csv,Fuente,texto/categórico,no aplica,WALK-NTEC-01_Transcripcion_Anonimizada.txt | WALK-NTEC-02_Transcripcion_Anonimizada.txt | WALK-NTEC-03_Transcripcion_Anonimizada.txt | WALK-TEC-01_Transcripcion_Anonimizada.txt | WALK-TEC-02_Transcripcion_Anonimizada.txt | WALK-TEC-03_Transcripcion_Anonimizada.txt,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Archivo de transcripción anonimizada del que procede el fragmento codificado.
datos_crudos/codificacion_walkthroughs.csv,Timestamp,fecha/fecha-hora,no aplica,texto libre o identificador; 71 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,"Marca temporal de la respuesta o posición temporal del fragmento, según el archivo."
datos_crudos/codificacion_walkthroughs.csv,Fragmento,texto/categórico,no aplica,texto libre o identificador; 76 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Unidad textual codificada procedente de la transcripción pública anonimizada.
datos_crudos/codificacion_walkthroughs.csv,Codigo,texto/categórico,no aplica,texto libre o identificador; 65 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Código abierto asignado inicialmente al significado observado en el fragmento.
datos_crudos/codificacion_walkthroughs.csv,Codigo_Normalizado,texto/categórico,no aplica,texto libre o identificador; 37 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Código abierto normalizado usado en la curva de acumulación.
datos_crudos/codificacion_walkthroughs.csv,Codigo_Axial,texto/categórico,no aplica,texto libre o identificador; 18 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Código de agrupación axial usado para relacionar códigos abiertos de significado cercano.
datos_crudos/codificacion_walkthroughs.csv,Categoria,texto/categórico,no aplica,texto libre o identificador; 18 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Categoría temática o axial asignada al fragmento codificado.
datos_crudos/codificacion_walkthroughs.csv,Hallazgo_Interpretado,texto/categórico,no aplica,texto libre o identificador; 76 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Síntesis analítica del significado o necesidad observada en el fragmento.
datos_crudos/codificacion_walkthroughs.csv,Tipo_Requisito,texto/categórico,no aplica,Hallazgo | RF | RNF,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,"Clasificación del resultado derivado del fragmento como RF, RNF, hallazgo u otro tipo documentado."
datos_crudos/codificacion_walkthroughs.csv,Requisito_Derivado,texto/categórico,no aplica,texto libre o identificador; 76 valores distintos observados,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Enunciado de requisito o decisión de diseño derivada del fragmento cuando corresponde.
datos_crudos/codificacion_walkthroughs.csv,Aplicable_Explicabilidad,texto/categórico,no aplica,No | Si,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Indica si el fragmento es pertinente para explicabilidad.
datos_crudos/codificacion_walkthroughs.csv,Dimension_Explicabilidad,texto/categórico,no aplica,Accesibilidad/transparencia | Comprensibilidad/justificacion | Detalle/transparencia | Justificacion/contexto | Justificacion/logica | Justificacion/personalizacion | Personalizacion/transparencia | Procedencia/contexto | Procedencia/validacion,67 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Etiquetas observadas de explicabilidad; no constituyen un denominador cerrado.
datos_crudos/codificacion_walkthroughs.csv,Confianza_Codificacion,texto/categórico,no aplica,Alta | Media,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Valoración cualitativa de la confianza del equipo en la asignación de la codificación.
datos_crudos/codificacion_walkthroughs.csv,ID_Evidencia,texto/categórico,no aplica,WALK-NTEC-01 | WALK-NTEC-02 | WALK-NTEC-03 | WALK-TEC-01 | WALK-TEC-02 | WALK-TEC-03,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Identificador de la sesión o evidencia primaria a la que se vincula el registro.
datos_crudos/codificacion_walkthroughs.csv,Codificador,texto/categórico,no aplica,Equipo_FabroGym,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Identificador del responsable o equipo que realizó la codificación registrada.
datos_crudos/codificacion_walkthroughs.csv,Estado_Analisis,texto/categórico,no aplica,CODIFICADO_POST_OSF,0 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,Estado del registro dentro del proceso de análisis cualitativo.
datos_crudos/codificacion_walkthroughs.csv,Observaciones,texto/categórico,no aplica,texto libre o identificador; 9 valores distintos observados,67 de 76,Copia de 06_Experimento/datos_crudos/codificacion_walkthroughs.csv,"Notas complementarias sobre el registro, decisión o ajuste documentado."
datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Categoria,texto/categórico,no aplica,texto libre o identificador; 18 valores distintos observados,0 de 18,Copia de 06_Experimento/datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Categoría temática o axial asignada al fragmento codificado.
datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Sesiones_Tecnicas_que_mencionan,entero,conteo,observado: 0 a 3,0 de 18,Copia de 06_Experimento/datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Número de sesiones WALK de perfil técnico en las que aparece la categoría.
datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Sesiones_NoTecnicas_que_mencionan,entero,conteo,observado: 0 a 3,0 de 18,Copia de 06_Experimento/datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Número de sesiones WALK de perfil no técnico en las que aparece la categoría.
datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Fragmentos_Tecnicos,entero,conteo,observado: 0 a 7,0 de 18,Copia de 06_Experimento/datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Número de fragmentos codificados de perfil técnico asociados a la categoría.
datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Fragmentos_NoTecnicos,entero,conteo,observado: 0 a 7,0 de 18,Copia de 06_Experimento/datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Número de fragmentos codificados de perfil no técnico asociados a la categoría.
datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Patron,texto/categórico,no aplica,Compartido | Predominio_exclusivo_no_tecnico | Predominio_exclusivo_tecnico,0 de 18,Copia de 06_Experimento/datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Etiqueta descriptiva del patrón observado al comparar presencia de la categoría entre perfiles.
datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Interpretacion,texto/categórico,no aplica,texto libre o identificador; 1 valores distintos observados,0 de 18,Copia de 06_Experimento/datos_crudos/comparacion_perfiles_walkthroughs_fuente.csv,Interpretación descriptiva del patrón técnico/no técnico; no equivale por sí sola a una prueba inferencial.
