ID_Registro,Codigo_Sesion,Perfil,Rol_Contexto,Fuente,Timestamp,Fragmento,Codigo,Codigo_Normalizado,Codigo_Axial,Categoria,Hallazgo_Interpretado,Tipo_Requisito,Requisito_Derivado,Aplicable_Explicabilidad,Dimension_Explicabilidad,Confianza_Codificacion,Codificador,Observaciones_Codificador
WALK-NTEC-01-F002,WALK-NTEC-01,No tecnico,Instructor/entrenador,WALK-NTEC-01_Transcripcion_Anonimizada.txt,12:03-12:57,...de las rutinas... poder agregar más cosas que uno va aprendiendo... facilita más las cosas...,RUT_AJUSTE_CONTENIDO,RUT_PERSONALIZACION,RUT,Rutinas y personalizacion,Se valora que el contenido de las rutinas pueda ampliarse o ajustarse con el tiempo.,RF,El sistema deberá permitir modificar el contenido de las rutinas asignadas por personal autorizado.,No,,Alta,Ponce_revision,Énfasis en actualización del contenido.
WALK-NTEC-01-F006,WALK-NTEC-01,No tecnico,Instructor/entrenador,WALK-NTEC-01_Transcripcion_Anonimizada.txt,15:09-15:36,...eso de cancelación no... no lo vi. Entonces... falta en esa parte...,ERR_SALIDA_FORMULARIO,USAB_RECUPERACION_ERRORES,ERR,Prevencion y recuperacion de errores,La interfaz necesita una salida explícita para abandonar un formulario sin confirmar cambios.,RF,Los formularios deberán ofrecer una acción visible para cancelar la operación sin guardar.,No,,Alta,Ponce_revision,Énfasis en prevención de guardado accidental.
WALK-NTEC-02-F002,WALK-NTEC-02,No tecnico,Recepcionista,WALK-NTEC-02_Transcripcion_Anonimizada.txt,10:21-11:51,"...podría cambiar para ver la diferencia de los últimos 7 días a los 15 días, 1 mes, 2 meses... cómo ha crecido o caído los ingresos...",REP_FILTRO_PERIODO,INFO_DASHBOARD,REP,Reportes y dashboard,La comparación por periodos se interpreta como un filtro necesario para análisis del dashboard.,RF,El dashboard deberá permitir seleccionar intervalos temporales para comparar la evolución de ingresos.,No,,Alta,Ponce_revision,Énfasis en filtro temporal.
WALK-NTEC-02-F006,WALK-NTEC-02,No tecnico,Recepcionista,WALK-NTEC-02_Transcripcion_Anonimizada.txt,14:34-15:02,...todo ha sido fácil de entender hasta ahora.,USAB_INTUITIVA,USAB_NAVEGACION_CLARA,USAB,Usabilidad y navegacion,La afirmación de facilidad se interpreta como percepción de navegación intuitiva.,RNF,La navegación deberá ser comprensible para personal no técnico con una inducción mínima.,No,,Media,Ponce_revision,"Difiere de Mora: lo clasifica como usabilidad, no como claridad informativa."
WALK-NTEC-03-F003,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,12:33-13:05,Las rutinas... ¿son visualizadas de forma general... o puedo especificar...? ...me parece mejor así... para cada persona.,RUT_ASIGNACION_INDIVIDUAL,RUT_PERSONALIZACION,RUT,Rutinas y personalizacion,La posibilidad de especificar una rutina por persona confirma la necesidad de asignación individual.,RF,El sistema deberá permitir asignar rutinas individualizadas a clientes específicos.,Si,Personalizacion/transparencia,Media,Ponce_revision,Énfasis en asignación individual.
WALK-NTEC-03-F009,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,20:01-21:30,"...para el trabajo diario... está completo, solo habría que ver... cómo se va a visualizar en el celular si no se satura...",UI_MOVIL_LEGIBILIDAD,PERS_ADAPTABILIDAD,ADAP,Adaptabilidad y visualizacion,La visualización móvil debe conservar legibilidad y evitar saturación de contenido.,RNF,La interfaz deberá conservar legibilidad y operabilidad en pantallas móviles.,No,,Alta,Ponce_revision,Énfasis en legibilidad móvil.
WALK-TEC-01-F003,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,10:23-11:28,...debería visualizar... la lista... observaciones... fecha y hora... un registro previo... ¿dónde yo veo... mi propia rutina?... tener un registro...,RUT_HISTORIAL_CLIENTE,RUT_CONSULTA_HISTORIAL,RUT,Rutinas y personalizacion,El usuario requiere un registro consultable de rutinas anteriores y actuales.,RF,El cliente deberá poder consultar la rutina vigente y registros históricos de rutinas previas.,Si,Accesibilidad/transparencia,Alta,Ponce_revision,Énfasis en acceso al historial.
WALK-TEC-01-F008,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,16:40-17:07,...tiene que haber un teléfono para contactar... el WhatsApp sí.,COM_CONTACTO_WHATSAPP,COM_CANALES,COM,Comunicacion,Se identifica WhatsApp como canal operativo para contactar al cliente.,RF,El sistema deberá registrar un medio de contacto utilizable para comunicación operativa con el cliente.,No,,Alta,Ponce_revision,Canal de comunicación.
WALK-TEC-01-F013,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,21:08-21:48,...yo como cliente necesito ver si he pagado... si en la plataforma está registrada que pagué o no pagué...,CLI_VER_PAGOS,CLI_ESTADO_PAGO,CLI,"Clientes, membresias y pagos",El cliente necesita comprobar el estado de sus pagos dentro de la plataforma.,RF,El cliente deberá visualizar si sus pagos y membresías están vigentes o pendientes.,No,,Alta,Ponce_revision,Consulta de estado financiero del cliente.
WALK-TEC-02-F003,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,09:16-10:44,"...con pocos roles, no hace falta hacer todo ese proceso... el administrador ingresa y crea el usuario nuevo y le asigna el rol...",SEG_GESTION_ROLES,SEG_ROLES,SEG_ROL,Roles y acceso,La creación de usuarios y asignación de roles se centraliza en el administrador.,RF,El administrador deberá crear usuarios internos y asignarles un rol autorizado.,No,,Alta,Ponce_revision,Administración de roles.
