rf_id,nombre,actor,descripcion,entradas,salidas,precondicion,postcondicion,prioridad_kano,evidencia,componente_mockup
RF-AUT-01,Autenticar usuario,Personal autorizado,El sistema permitira iniciar y cerrar sesion mediante credenciales individuales no biometricas.,"identificador, secreto",sesion o rechazo generico,cuenta activa,sesion trazable o acceso denegado,Must / Basico,EV-ENTR02-07,Seguridad / MU-01
RF-AUT-02,Aplicar permisos por rol,Administrador,"El sistema autorizara cada operacion segun el rol Administrador, Recepcion o Instructor y denegara por defecto las no asignadas.","usuario, operacion, recurso",permiso o denegacion,sesion autenticada,solo se ejecuta una operacion autorizada,Must / Basico,EV-ENTR02-07;EV-ENTR03-06;EV-ENTR08-04,Seguridad / MU-22;MU-32
RF-AUT-03,Auditar cambios criticos,Administrador,"El sistema registrara autor, fecha, accion y valores anterior/nuevo para pagos, precios, inventario, membresias y permisos.",operacion critica,evento de auditoria,sesion autorizada,evento inalterable disponible para consulta,Should / Desempeno,EV-ENTR02-04;EV-ENTR02-07;EV-ENTR03-06,Auditoria / MU-25
RF-CLI-01,Registrar cliente minimo,Recepcion,"El sistema registrara un cliente con codigo interno, nombre de uso y un medio de contacto, sin salud, biometria, direccion ni imagen corporal.","nombre de uso, contacto opcional",cliente y codigo,consentimiento/base legitimadora documentada,cliente unico activo,Must / Basico,EV-ENTR01-02;EV-ENTR02-02;EV-ENTR03-02;EV-ENTR08-01,Clientes / MU-12*;MU-37*
RF-CLI-02,Buscar y consultar cliente,Recepcion,"El sistema buscara clientes por codigo, nombre normalizado o contacto y mostrara membresia, ultimo pago, asistencia y novedades segun permisos.",criterio de busqueda,lista y ficha autorizada,sesion autorizada,consulta sin modificar datos,Must / Desempeno,EV-ENTR02-03;EV-ENTR02-08;EV-ENTR08-05,Clientes / MU-11;MU-36
RF-CLI-03,Actualizar o reactivar sin duplicar,Recepcion,El sistema actualizara o reactivara un registro existente y advertira coincidencias antes de crear otro cliente.,codigo y cambios,registro actualizado o advertencia,cliente existente o busqueda previa,historial preservado y sin duplicado confirmado,Must / Desempeno,EV-ENTR02-02;EV-ENTR03-02;EV-ENTR04-01;EV-ENTR05-02,Clientes / MU-11;MU-36
RF-MEM-01,Configurar planes y promociones,Administrador,"El sistema administrara nombre, duracion, precio, vigencia y estado de planes y promociones.",datos del plan,catalogo actualizado,sesion de administrador,version vigente disponible para nuevas membresias,Must / Desempeno,EV-ENTR02-01;EV-ENTR04-01,Membresias / MU-68
RF-MEM-02,Activar o renovar membresia,Recepcion,El sistema activara o renovara una membresia calculando inicio y vencimiento desde un plan vigente y un pago confirmado.,"cliente, plan, pago, fecha",membresia vigente,cliente existente y pago confirmado,periodo nuevo trazable,Must / Basico,EV-ENTR01-02;EV-ENTR02-04;EV-ENTR03-01;EV-ENTR04-03,Membresias / MU-14;MU-39
RF-MEM-03,Consultar vigencia,Personal autorizado,"El sistema mostrara estado, plan, fecha de inicio y vencimiento de la membresia.",codigo de cliente,estado y fechas,cliente existente,consulta registrada sin cambios,Must / Basico,EV-ENTR01-03;EV-ENTR02-03;EV-ENTR03-03;EV-ENTR08-02,Membresias / MU-13;MU-38;MU-63(F)
RF-MEM-04,Alertar vencimientos,Recepcion,"El sistema listara diariamente membresias que vencen en los proximos tres dias y las vencidas, sin enviar mensajes externos automaticamente.",fecha de corte,lista priorizada,membresias registradas,alertas internas visibles,Must / Desempeno,EV-ENTR01-03;EV-ENTR05-02;EV-ENTR07-02,Membresias / MU-10;MU-13;MU-38
RF-PAG-01,Registrar pago y comprobante,Recepcion,"El sistema registrara monto, concepto, medio, referencia y fecha de un pago, y generara un comprobante interno.","cliente, monto, medio, referencia",pago y comprobante,sesion autorizada y concepto valido,pago trazable,Must / Basico,EV-ENTR01-02;EV-ENTR02-04;EV-ENTR03-04;EV-ENTR07-02;EV-ENTR08-03,Pagos / MU-15;MU-16;MU-40;MU-41
RF-PAG-02,Resolver pago pendiente,Administrador,"El sistema permitira confirmar, rechazar o corregir un pago pendiente conservando motivo y auditoria.","pago, decision, motivo",estado resuelto,pago pendiente y evidencia disponible,membresia recalculada solo si se confirma,Should / Desempeno,EV-ENTR02-04;EV-ENTR03-04;EV-ENTR07-07,Pagos / MU-15;MU-40
RF-ASI-01,Registrar asistencia,Recepcion,"El sistema registrara una asistencia no biometrica en una accion tras validar identidad operativa y vigencia, o documentara una excepcion autorizada.","cliente, fecha-hora, excepcion opcional",asistencia o rechazo,cliente localizado,evento unico y trazable,Must / Basico,EV-ENTR02-03;EV-ENTR03-03;EV-ENTR04-02;EV-ENTR07-07;EV-ENTR08-02,Asistencia / MU-20;MU-30*;MU-46;MU-47*
RF-ASI-02,Consultar asistencia,Personal autorizado,"El sistema filtrara asistencias por cliente, fecha y turno, y mostrara conteos operativos.",filtros,detalle y resumen,sesion autorizada,consulta exportable,Must / Desempeno,EV-ENTR03-01;EV-ENTR07-01;EV-ENTR08-05;EV-ENTR09-06,Asistencia / MU-20;MU-46;MU-56;MU-65(F)
RF-INV-01,Administrar productos,Administrador,"El sistema registrara productos con codigo, nombre, precio, unidad, stock minimo y estado.",datos de producto,producto,sesion de administrador,catalogo consistente,Must / Basico,EV-ENTR01-01;EV-ENTR02-05,Inventario / MU-19;MU-28;MU-44*;MU-45*
RF-INV-02,Registrar movimientos de stock,Personal autorizado,"El sistema registrara entradas y ajustes con cantidad, motivo, responsable y saldo resultante.","producto, tipo, cantidad, motivo",movimiento y saldo,producto activo,saldo no negativo salvo ajuste autorizado,Must / Basico,EV-ENTR01-04;EV-ENTR04-04;EV-ENTR07-03,Inventario / MU-69
RF-VEN-01,Registrar venta,Recepcion,"El sistema registrara una venta con items y medio de pago, y descontara existencias en la misma transaccion.","items, cantidades, medio","venta, comprobante, saldo",productos activos con stock,venta y stock consistentes,Must / Basico,EV-ENTR02-05;EV-ENTR03-01;EV-ENTR04-04;EV-ENTR07-03;EV-ENTR08-03,Ventas / MU-18;MU-27;MU-42;MU-43
RF-INV-03,Alertar stock y rotacion,Administrador,"El sistema listara productos en o bajo stock minimo y resumira entradas, salidas y ventas por periodo.",periodo,alertas y resumen,movimientos registrados,consulta disponible sin alterar saldos,Should / Desempeno,EV-ENTR01-04;EV-ENTR02-05;EV-ENTR05-04;EV-ENTR06-04,Inventario / MU-10;MU-19;MU-44*
RF-CAJ-01,Cerrar turno y conciliar caja,Recepcion,"El sistema calculara pagos y ventas por medio, comparara valores declarados y registrara diferencias y entrega de turno.","turno, efectivo contado, observaciones",cierre y diferencia,turno abierto,turno cerrado e inmutable salvo correccion auditada,Must / Basico,EV-ENTR02-01;EV-ENTR02-06;EV-ENTR03-05;EV-ENTR04-05;EV-ENTR07-03;EV-ENTR08-04,Caja / MU-70
RF-NOV-01,Gestionar novedades internas,Personal autorizado,"El sistema creara una novedad con categoria, detalle minimo, responsable, vencimiento y estados pendiente, en proceso, resuelta o cancelada.","categoria, detalle, responsable",novedad trazable,sesion autorizada,novedad visible al responsable y con historial,Must / Desempeno,EV-ENTR02-01;EV-ENTR02-08;EV-ENTR03-07;EV-ENTR04-06;EV-ENTR05-01,Novedades / MU-21;MU-31*;MU-50;MU-51*;MU-61
RF-INS-01,Gestionar horario y disponibilidad de instructor,Administrador,"El sistema registrara turnos, capacidad, disponibilidad y novedades operativas del instructor, sin datos de salud.","instructor, franja, capacidad, estado",agenda operativa,instructor activo,disponibilidad consultable,Should / Desempeno,EV-ENTR07-06;EV-ENTR09-03;EV-ENTR10-02,Instructores / MU-23;MU-33;MU-48*;MU-49*;MU-58
RF-RUT-01,Crear y asignar rutina,Instructor,"El sistema creara una rutina con objetivo operativo, ejercicios, series, repeticiones, descanso y dias, y la asignara a un cliente sintetico o autorizado.","cliente, objetivo, ejercicios y parametros",rutina version 1,instructor autorizado,rutina activa consultable,Must / Basico,EV-ENTR01-05;EV-ENTR05-04;EV-ENTR09-01;EV-ENTR09-02;EV-ENTR09-03,Rutinas / MU-17*;MU-29*;MU-54;MU-55;MU-64(F)
RF-RUT-02,Versionar y ajustar rutina,Instructor,El sistema creara una nueva version al modificar ejercicios o parametros y conservara las versiones anteriores en solo lectura.,"rutina activa, cambios, motivo",nueva version,rutina existente,una sola version activa e historial preservado,Must / Desempeno,EV-ENTR01-05;EV-ENTR09-01;EV-ENTR09-04;EV-ENTR10-01;EV-ENTR10-03,Rutinas / MU-17*;MU-54
