ID,Ley/Fuente,Artículo,Objetivo,Stakeholder,ID-EV,Tipo,ID-CU,ID-HU,ID-CA,Componente,Mockup,Prioridad,Descripción
RF-AUT-01,LOPDP,Art. 10,Garantizar tratamiento licito y minimizacion de datos,Personal autorizado,EV-ENTR02-07,RF,CU-01,HU-01,CA-01,Seguridad,MU-01,Must / Basico,El sistema permitira iniciar y cerrar sesion mediante credenciales individuales no biometricas.
RF-AUT-02,LOPDP,Art. 20,Controlar acceso por roles y permisos,Administrador,EV-ENTR02-07;EV-ENTR03-06;EV-ENTR08-04,RF,CU-02,HU-02,CA-02,Seguridad,MU-22;MU-32,Must / Basico,"El sistema autorizara cada operacion segun el rol Administrador, Recepcion o Instructor y denegara por defecto las no asignadas."
RF-AUT-03,LOPDP,Art. 24,Asegurar trazabilidad de eventos criticos,Administrador,EV-ENTR02-04;EV-ENTR02-07;EV-ENTR03-06,RF,,,CA-N/A,Auditoria,MU-25,Should / Desempeno,"El sistema registrara autor, fecha, accion y valores anterior/nuevo para pagos, precios, inventario, membresias y permisos."
RF-CLI-01,Civil/Operacion,Art. N/A,Registrar datos minimos de cliente,Recepcion,EV-ENTR01-02;EV-ENTR02-02;EV-ENTR03-02;EV-ENTR08-01,RF,CU-03,HU-03,CA-03,Clientes,MU-12*;MU-37*,Must / Basico,"El sistema registrara un cliente con codigo interno, nombre de uso y un medio de contacto, sin salud, biometria, direccion ni imagen corporal."
RF-CLI-02,Civil/Operacion,Art. N/A,Consultar ficha de cliente,Recepcion,EV-ENTR02-03;EV-ENTR02-08;EV-ENTR08-05,RF,CU-04,HU-04,CA-04,Clientes,MU-11;MU-36,Must / Desempeno,"El sistema buscara clientes por codigo, nombre normalizado o contacto y mostrara membresia, ultimo pago, asistencia y novedades segun permisos."
RF-CLI-03,Civil/Operacion,Art. N/A,Actualizar y reactivar cliente,Recepcion,EV-ENTR02-02;EV-ENTR03-02;EV-ENTR04-01;EV-ENTR05-02,RF,CU-05,HU-05,CA-05,Clientes,MU-11;MU-36,Must / Desempeno,El sistema actualizara o reactivara un registro existente y advertira coincidencias antes de crear otro cliente.
RF-MEM-01,Operacion,Art. N/A,Configurar catalogo de planes,Administrador,EV-ENTR02-01;EV-ENTR04-01,RF,CU-06,HU-06,CA-06,Membresias,MU-68,Must / Desempeno,"El sistema administrara nombre, duracion, precio, vigencia y estado de planes y promociones."
RF-MEM-02,Operacion,Art. N/A,Activar y renovar membresia,Recepcion,EV-ENTR01-02;EV-ENTR02-04;EV-ENTR03-01;EV-ENTR04-03,RF,CU-07,HU-07,CA-07,Membresias,MU-14;MU-39,Must / Basico,El sistema activara o renovara una membresia calculando inicio y vencimiento desde un plan vigente y un pago confirmado.
RF-MEM-03,Operacion,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR01-03;EV-ENTR02-03;EV-ENTR03-03;EV-ENTR08-02,RF,CU-08,HU-08,CA-08,Membresias,MU-13;MU-38;MU-63(F),Must / Basico,"El sistema mostrara estado, plan, fecha de inicio y vencimiento de la membresia."
RF-MEM-04,Operacion,Art. N/A,Alertar vencimientos,Recepcion,EV-ENTR01-03;EV-ENTR05-02;EV-ENTR07-02,RF,CU-09,HU-09,CA-09,Membresias,MU-10;MU-13;MU-38,Must / Desempeno,"El sistema listara diariamente membresias que vencen en los proximos tres dias y las vencidas, sin enviar mensajes externos automaticamente."
