variable,opcion,frecuencia,porcentaje
frecuencia_asistencia,2 a 3 veces por semana,15,46.88
frecuencia_asistencia,1 vez por semana,13,40.62
frecuencia_asistencia,6 o más veces por semana,2,6.25
frecuencia_asistencia,4 a 5 veces por semana,2,6.25
antiguedad_gimnasio,De 1 a 6 meses,14,43.75
antiguedad_gimnasio,Menos de 1 mes,13,40.62
antiguedad_gimnasio,De 7 a 12 meses,3,9.38
antiguedad_gimnasio,Más de 1 año,2,6.25
consulta_membresia,Consulta verbal en recepción,18,56.25
consulta_membresia,Mensaje por WhatsApp u otro medio,8,25.0
consulta_membresia,Tarjeta o credencial,3,9.38
consulta_membresia,No suele verificarlo,1,3.12
consulta_membresia,No voy al gym,1,3.12
consulta_membresia,Pago diariamente,1,3.12
dificultad_vencimiento,A veces,12,37.5
dificultad_vencimiento,Casi nunca,11,34.38
dificultad_vencimiento,Nunca,7,21.88
dificultad_vencimiento,Siempre,1,3.12
dificultad_vencimiento,Casi siempre,1,3.12
espera_confirmacion_pago,Casi nunca,12,37.5
espera_confirmacion_pago,A veces,11,34.38
espera_confirmacion_pago,Nunca,6,18.75
espera_confirmacion_pago,Casi siempre,2,6.25
espera_confirmacion_pago,Siempre,1,3.12
medio_preferido_avisos,WhatsApp,16,50.0
medio_preferido_avisos,Aviso presencial,7,21.88
medio_preferido_avisos,Correo electrónico,6,18.75
medio_preferido_avisos,Notificación del sistema,2,6.25
medio_preferido_avisos,No deseo recibir avisos,1,3.12
facilidad_inscripcion_actualizacion,Ni fácil ni difícil,17,53.12
facilidad_inscripcion_actualizacion,Fácil,9,28.12
facilidad_inscripcion_actualizacion,Muy difícil,3,9.38
facilidad_inscripcion_actualizacion,Difícil,2,6.25
facilidad_inscripcion_actualizacion,Muy fácil,1,3.12
claridad_planes_precios,Clara,13,40.62
claridad_planes_precios,Ni clara ni poco clara,10,31.25
claridad_planes_precios,Poco clara,6,18.75
claridad_planes_precios,Muy clara,3,9.38
satisfaccion_atencion,Satisfecho(a),14,43.75
satisfaccion_atencion,Ni satisfecho(a) ni insatisfecho(a),13,40.62
satisfaccion_atencion,Muy satisfecho(a),2,6.25
satisfaccion_atencion,Insatisfecho(a),2,6.25
satisfaccion_atencion,Muy insatisfecho(a),1,3.12
registro_ingreso,Cuaderno o lista impresa,13,40.62
registro_ingreso,Aviso verbal,10,31.25
registro_ingreso,Sistema digital,5,15.62
registro_ingreso,No se registra,3,9.38
registro_ingreso,Tarjeta o credencial,1,3.12
consulta_cambio_rutina,Una vez al mes,14,43.75
consulta_cambio_rutina,Nunca,7,21.88
consulta_cambio_rutina,Cada quince días,5,15.62
consulta_cambio_rutina,Una vez por semana,5,15.62
consulta_cambio_rutina,Varias veces por semana,1,3.12
informacion_futuro_sistema,Avisos y novedades,8,25.0
informacion_futuro_sistema,Estado de la membresía,7,21.88
informacion_futuro_sistema,Registro de asistencia,6,18.75
informacion_futuro_sistema,Rutina asignada,6,18.75
informacion_futuro_sistema,Pagos realizados,3,9.38
informacion_futuro_sistema,Compras de productos,2,6.25
dificultades_compra_productos,No he tenido dificultades,17,53.12
dificultades_compra_productos,Precio poco claro o diferente,6,18.75
dificultades_compra_productos,Falta de disponibilidad,3,9.38
dificultades_compra_productos,Demora o error en el registro o pago,3,9.38
dificultades_compra_productos,Otra dificultad,2,6.25
dificultades_compra_productos,No compro,1,3.12
prioridad_mejora,Membresías,10,31.25
prioridad_mejora,Comunicación y avisos,6,18.75
prioridad_mejora,Atención al cliente,6,18.75
prioridad_mejora,Pagos,4,12.5
prioridad_mejora,Inventario y ventas,3,9.38
prioridad_mejora,Rutinas,3,9.38
importancia_privacidad,Importante,13,40.62
importancia_privacidad,Muy importante,10,31.25
importancia_privacidad,Moderadamente importante,4,12.5
importancia_privacidad,Nada importante,3,9.38
importancia_privacidad,Poco importante,2,6.25
