id_respuesta,consentimiento,frecuencia_asistencia,antiguedad_gimnasio,consulta_membresia,dificultad_vencimiento,espera_confirmacion_pago,medio_preferido_avisos,facilidad_inscripcion_actualizacion,claridad_planes_precios,satisfaccion_atencion,registro_ingreso,consulta_cambio_rutina,informacion_futuro_sistema,dificultades_compra_productos,prioridad_mejora,importancia_privacidad,comentario_experiencia,cambio_facilitador,funcion_adicional
ENC-CLI-001,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,No suele verificarlo,Nunca,Nunca,Correo electrónico,Fácil,Clara,Satisfecho(a),Aviso verbal,Una vez al mes,Avisos y novedades,No he tenido dificultades,Membresías,Muy importante,,Que se automatice el proceso,
ENC-CLI-002,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,No voy al gym,Nunca,Nunca,WhatsApp,Fácil,Clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Varias veces por semana,Estado de la membresía,No compro,Comunicación y avisos,Muy importante,,Nada,
ENC-CLI-003,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,A veces,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Sistema digital,Cada quince días,Registro de asistencia,Precio poco claro o diferente,Atención al cliente,Moderadamente importante,,Que existan más opciones de pago,
ENC-CLI-004,Acepto participar voluntariamente y declaro tener 18 años o más.,6 o más veces por semana,Menos de 1 mes,Tarjeta o credencial,Nunca,A veces,WhatsApp,Muy difícil,Muy clara,Ni satisfecho(a) ni insatisfecho(a),Tarjeta o credencial,Nunca,Avisos y novedades,No he tenido dificultades,Membresías,Nada importante,Muy mala,Tarjeta de credito,Ninguno
ENC-CLI-005,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Consulta verbal en recepción,Siempre,A veces,Notificación del sistema,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Sistema digital,Una vez por semana,Compras de productos,Precio poco claro o diferente,Membresías,Importante,,Me facilitaría poder llevar un mejor orden de cada cosa,
ENC-CLI-006,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,Nunca,Correo electrónico,Ni fácil ni difícil,Clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Avisos y novedades,Falta de disponibilidad,Comunicación y avisos,Muy importante,,Que sea digital,
ENC-CLI-007,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Mensaje por WhatsApp u otro medio,Casi nunca,Casi nunca,No deseo recibir avisos,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Cada quince días,Rutina asignada,Demora o error en el registro o pago,Inventario y ventas,Importante,Debería tener un botiquín,No se,Algo bueno
ENC-CLI-008,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,Casi nunca,A veces,Notificación del sistema,Difícil,Poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Rutina asignada,No he tenido dificultades,Membresías,Muy importante,,Pagos,
ENC-CLI-009,Acepto participar voluntariamente y declaro tener 18 años o más.,6 o más veces por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi nunca,WhatsApp,Fácil,Clara,Muy satisfecho(a),Cuaderno o lista impresa,Una vez al mes,Pagos realizados,No he tenido dificultades,Atención al cliente,Muy importante,,Tener un portal o app donde pueda descargar mis recibos y ver mi estado de cuenta al instante,
ENC-CLI-010,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Más de 1 año,Consulta verbal en recepción,Casi siempre,Siempre,Correo electrónico,Ni fácil ni difícil,Poco clara,Insatisfecho(a),Aviso verbal,Una vez al mes,Estado de la membresía,No he tenido dificultades,Membresías,Nada importante,Ha sido muy mala,Tener una opción en una app,Alertas de membresía acabada
ENC-CLI-011,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi siempre,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Satisfecho(a),Cuaderno o lista impresa,Cada quince días,Rutina asignada,Demora o error en el registro o pago,Membresías,Importante,Le falta organización,Registro de asistencia,Recordatorios claros
ENC-CLI-012,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,A veces,A veces,Aviso presencial,Ni fácil ni difícil,Ni clara ni poco clara,Satisfecho(a),Aviso verbal,Una vez al mes,Estado de la membresía,No he tenido dificultades,Inventario y ventas,Muy importante,,Más inventario de ejercicios,
ENC-CLI-013,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Más de 1 año,Consulta verbal en recepción,Nunca,Nunca,Aviso presencial,Fácil,Clara,Satisfecho(a),No se registra,Una vez por semana,Rutina asignada,Falta de disponibilidad,Rutinas,Importante,,El registro de asistencia,Un mejor ambiente
ENC-CLI-014,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Consulta verbal en recepción,Nunca,Casi nunca,WhatsApp,Fácil,Clara,Muy satisfecho(a),Sistema digital,Nunca,Registro de asistencia,No he tenido dificultades,Pagos,Poco importante,Muy buena,Ninguno,Personal
ENC-CLI-015,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,A veces,Casi nunca,WhatsApp,Ni fácil ni difícil,Clara,Satisfecho(a),Cuaderno o lista impresa,Cada quince días,Estado de la membresía,No he tenido dificultades,Membresías,Importante,fue Buena experiencia,tener un buen control,tener un sistema para poder registrarme mejor
ENC-CLI-016,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,Casi nunca,Nunca,Correo electrónico,Ni fácil ni difícil,Clara,Ni satisfecho(a) ni insatisfecho(a),No se registra,Una vez al mes,Registro de asistencia,Otra dificultad,Atención al cliente,Importante,,Permitir pagos en línea e ingreso mediante código QR para evitar filas y agilizar el registro,
ENC-CLI-017,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Tarjeta o credencial,Casi nunca,Casi nunca,WhatsApp,Ni fácil ni difícil,Poco clara,Ni satisfecho(a) ni insatisfecho(a),Aviso verbal,Una vez al mes,Registro de asistencia,Precio poco claro o diferente,Pagos,Poco importante,,Si,No c
ENC-CLI-018,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 7 a 12 meses,Pago diariamente,Casi nunca,Casi nunca,Aviso presencial,Fácil,Muy clara,Ni satisfecho(a) ni insatisfecho(a),No se registra,Nunca,Avisos y novedades,No he tenido dificultades,Comunicación y avisos,Importante,Ninguna,Seguimiento del pago realizado y recordatorios de cuando ya se esta acercando la fecha de volver a pagar,"Mmmm un chat por si deseo preguntar algo hacerca de la técnica de un ejercicio,progresión recomendada segun mi evolución y sobre la comida"
ENC-CLI-019,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Mensaje por WhatsApp u otro medio,A veces,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Nunca,Registro de asistencia,Precio poco claro o diferente,Atención al cliente,Moderadamente importante,,Realizar pagos de forma rápida y segura,
