dimension_observada,fragmentos,porcentaje_sobre_9_fragmentos,nota
justificacion,4,44.444,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
transparencia,3,33.333,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
procedencia,2,22.222,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
personalizacion,2,22.222,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
contexto,2,22.222,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
comprensibilidad,1,11.111,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
accesibilidad,1,11.111,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
detalle,1,11.111,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
validacion,1,11.111,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
logica,1,11.111,Frecuencia descriptiva de etiquetas observadas; no equivale a cobertura porcentual del marco completo.
