rf_id,texto,detector_ambiguo_0_1,smells_detectados,detalle_reglas,version_detector,commit_fuente
RF-AUT-01,El sistema permitira iniciar y cerrar sesion mediante credenciales individuales no biometricas.,,,,,
RF-AUT-02,"El sistema autorizara cada operacion segun el rol Administrador, Recepcion o Instructor y denegara por defecto las no asignadas.",,,,,
RF-AUT-03,"El sistema registrara autor, fecha, accion y valores anterior/nuevo para pagos, precios, inventario, membresias y permisos.",,,,,
RF-CLI-01,"El sistema registrara un cliente con codigo interno, nombre de uso y un medio de contacto, sin salud, biometria, direccion ni imagen corporal.",,,,,
RF-CLI-02,"El sistema buscara clientes por codigo, nombre normalizado o contacto y mostrara membresia, ultimo pago, asistencia y novedades segun permisos.",,,,,
RF-CLI-03,El sistema actualizara o reactivara un registro existente y advertira coincidencias antes de crear otro cliente.,,,,,
RF-MEM-01,"El sistema administrara nombre, duracion, precio, vigencia y estado de planes y promociones.",,,,,
RF-MEM-02,El sistema activara o renovara una membresia calculando inicio y vencimiento desde un plan vigente y un pago confirmado.,,,,,
RF-MEM-03,"El sistema mostrara estado, plan, fecha de inicio y vencimiento de la membresia.",,,,,
RF-MEM-04,"El sistema listara diariamente membresias que vencen en los proximos tres dias y las vencidas, sin enviar mensajes externos automaticamente.",,,,,
RF-PAG-01,"El sistema registrara monto, concepto, medio, referencia y fecha de un pago, y generara un comprobante interno.",,,,,
RF-PAG-02,"El sistema permitira confirmar, rechazar o corregir un pago pendiente conservando motivo y auditoria.",,,,,
RF-ASI-01,"El sistema registrara una asistencia no biometrica en una accion tras validar identidad operativa y vigencia, o documentara una excepcion autorizada.",,,,,
RF-ASI-02,"El sistema filtrara asistencias por cliente, fecha y turno, y mostrara conteos operativos.",,,,,
RF-INV-01,"El sistema registrara productos con codigo, nombre, precio, unidad, stock minimo y estado.",,,,,
RF-INV-02,"El sistema registrara entradas y ajustes con cantidad, motivo, responsable y saldo resultante.",,,,,
RF-VEN-01,"El sistema registrara una venta con items y medio de pago, y descontara existencias en la misma transaccion.",,,,,
RF-INV-03,"El sistema listara productos en o bajo stock minimo y resumira entradas, salidas y ventas por periodo.",,,,,
RF-CAJ-01,"El sistema calculara pagos y ventas por medio, comparara valores declarados y registrara diferencias y entrega de turno.",,,,,
RF-NOV-01,"El sistema creara una novedad con categoria, detalle minimo, responsable, vencimiento y estados pendiente, en proceso, resuelta o cancelada.",,,,,
RF-INS-01,"El sistema registrara turnos, capacidad, disponibilidad y novedades operativas del instructor, sin datos de salud.",,,,,
RF-RUT-01,"El sistema creara una rutina con objetivo operativo, ejercicios, series, repeticiones, descanso y dias, y la asignara a un cliente sintetico o autorizado.",,,,,
RF-RUT-02,El sistema creara una nueva version al modificar ejercicios o parametros y conservara las versiones anteriores en solo lectura.,,,,,
RF-RUT-03,"El sistema registrara fecha, cumplimiento de ejercicios, repeticiones y observacion operativa, excluyendo diagnosticos, lesiones, peso y medidas reales.",,,,,
RF-REP-01,"El sistema mostrara indicadores filtrables de membresias, pagos, asistencias, ventas, caja, inventario y novedades, con exportacion CSV.",,,,,
