Codigo,Tipo_codigo,Tema,Definicion_operativa,Criterio_inclusion,Criterio_exclusion,Fragmentos,Entrevistas,Requisitos_relacionados,Incluir_en_saturacion,Estado
CENTRALIZACION_CONSULTA,CODIGO_TEMATICO,Centralización y calidad de registros,"Necesidad de consultar y controlar información operativa desde un único punto, evitando búsquedas y tareas fragmentadas.","Incluir fragmentos que expresen necesidad de consulta unificada, búsqueda rápida o acceso desde un único punto.",Excluir menciones generales a herramientas si no existe problema de consulta o centralización.,5,ENTR-02;ENTR-03;ENTR-05;ENTR-06;ENTR-08,RF-ASI-01;RF-ASI-02;RF-CAJ-01;RF-CLI-02;RF-INV-03;RF-MEM-02;RF-MEM-03;RF-PAG-01;RF-REP-01;RF-RUT-01;RF-VEN-01,Sí,CONSOLIDADO
CIERRE_CAJA_TURNO,CODIGO_TEMATICO,"Operación financiera, ventas e inventario","Cierre, conciliación y entrega de turno con pagos, ventas, efectivo, comprobantes, diferencias y novedades.","Incluir cierre, conciliación, entrega de turno, arqueo, comprobantes o diferencias de caja.",Excluir registros de pagos aislados que no involucren cierre o conciliación.,4,ENTR-02;ENTR-03;ENTR-04,RF-CAJ-01;RF-NOV-01;RF-VEN-01,Sí,CONSOLIDADO
CONTINUIDAD_OPERATIVA,CODIGO_TEMATICO,"Comunicación, reportes y continuidad","Condiciones de servicio, equipos, limpieza y atención que afectan la continuidad de la operación.","Incluir condiciones de limpieza, equipos, atención u organización que sostienen la operación diaria.",Excluir preferencias estéticas sin impacto operativo.,1,ENTR-05,RF-REP-01,Sí,CONSOLIDADO
CONTROL_ACCESO_ROLES,CODIGO_TEMATICO,"Seguridad, privacidad y límites éticos","Restricción de funciones, datos e historial según roles y autorización.","Incluir restricciones de acceso, permisos por cargo, usuarios individuales o auditoría de cambios.",Excluir controles físicos de ingreso por vigencia de membresía.,3,ENTR-02;ENTR-03;ENTR-08,RF-AUT-01;RF-AUT-02;RF-AUT-03;RF-CAJ-01,Sí,CONSOLIDADO
CONTROL_INVENTARIO_VENTAS,CODIGO_TEMATICO,"Operación financiera, ventas e inventario","Control formal de productos, existencias, reposición y ventas.","Incluir existencias, reposición, productos agotados o necesidad de inventario formal.",Excluir ventas aisladas sin relación con existencias.,1,ENTR-01,RF-INV-02;RF-INV-03,Sí,CONSOLIDADO
CONTROL_VIGENCIA_ACCESO,CODIGO_TEMATICO,"Clientes, membresías y acceso","Consulta, alerta y validación de la vigencia de membresías para autorizar o resolver el ingreso.","Incluir consulta de vencimiento, alertas, autorización o bloqueo de ingreso por membresía.",Excluir problemas de pago sin efecto sobre vigencia o acceso.,7,ENTR-01;ENTR-03;ENTR-04;ENTR-07;ENTR-08,RF-ASI-01;RF-MEM-03;RF-MEM-04;RF-PAG-01;RF-PAG-02,Sí,CONSOLIDADO
EXCLUSION_DATOS_SENSIBLES,RESTRICCION_ETICA_DISENO,"Seguridad, privacidad y límites éticos","Exclusión del prototipo de biometría, salud, peso u otros datos sensibles reales.","Incluir decisiones de no incorporar biometría, salud u otros datos sensibles reales en el prototipo.",Excluir necesidades operativas ordinarias de datos básicos.,2,ENTR-06;ENTR-07,RD-PRI-01,No,CONSOLIDADO
GESTION_CLIENTES_MEMBRESIAS,CODIGO_TEMATICO,"Clientes, membresías y acceso","Altas, planes, renovaciones, reactivaciones y prevención de registros duplicados de clientes y membresías.","Incluir alta, reactivación, planes, renovaciones, duplicidad o historial de clientes.",Excluir consultas rápidas que no impliquen administración del registro.,4,ENTR-01;ENTR-03;ENTR-04;ENTR-05,RF-CLI-01;RF-CLI-03;RF-MEM-01;RF-MEM-02;RF-MEM-04;RF-PAG-01,Sí,CONSOLIDADO
GESTION_INSTRUCTORES,CODIGO_TEMATICO,Rutinas e instructores,"Disponibilidad, horarios, asignación y capacidad de atención de instructores.","Incluir horarios, disponibilidad, asignación, puntualidad o capacidad de atención de entrenadores.",Excluir el contenido técnico de las rutinas.,3,ENTR-07;ENTR-09;ENTR-10,RF-INS-01;RF-RUT-01,Sí,CONSOLIDADO
GESTION_NOVEDADES,CODIGO_TEMATICO,"Comunicación, reportes y continuidad","Registro de novedades con responsable, estado, seguimiento y consulta posterior.","Incluir novedades, pendientes, responsables, estados y seguimiento entre turnos o áreas.",Excluir mensajes informativos sin acción pendiente.,3,ENTR-02;ENTR-03;ENTR-04,RF-CLI-02;RF-NOV-01,Sí,CONSOLIDADO
