evaluador_id,rf_id,orden_presentacion,ambiguo_0_no_1_si,smells_seleccionados,confianza_1_5,observacion
EXP-01,RF-MEM-03,1,,,,
EXP-01,RF-CLI-03,2,,,,
EXP-01,RF-VEN-01,3,,,,
EXP-01,RF-REP-01,4,,,,
EXP-01,RF-AUT-02,5,,,,
EXP-01,RF-RUT-03,6,,,,
EXP-01,RF-CLI-02,7,,,,
EXP-01,RF-MEM-02,8,,,,
EXP-01,RF-AUT-01,9,,,,
EXP-01,RF-AUT-03,10,,,,
EXP-01,RF-PAG-02,11,,,,
EXP-01,RF-NOV-01,12,,,,
EXP-01,RF-PAG-01,13,,,,
EXP-01,RF-MEM-01,14,,,,
EXP-01,RF-CAJ-01,15,,,,
EXP-01,RF-RUT-01,16,,,,
EXP-01,RF-INV-01,17,,,,
EXP-01,RF-INV-03,18,,,,
EXP-01,RF-MEM-04,19,,,,
EXP-01,RF-ASI-01,20,,,,
EXP-01,RF-ASI-02,21,,,,
EXP-01,RF-INS-01,22,,,,
EXP-01,RF-RUT-02,23,,,,
EXP-01,RF-CLI-01,24,,,,
EXP-01,RF-INV-02,25,,,,
EXP-02,RF-REP-01,1,,,,
EXP-02,RF-RUT-03,2,,,,
EXP-02,RF-AUT-01,3,,,,
EXP-02,RF-CAJ-01,4,,,,
EXP-02,RF-CLI-01,5,,,,
EXP-02,RF-ASI-02,6,,,,
EXP-02,RF-MEM-04,7,,,,
EXP-02,RF-RUT-02,8,,,,
EXP-02,RF-INV-03,9,,,,
EXP-02,RF-RUT-01,10,,,,
EXP-02,RF-AUT-03,11,,,,
EXP-02,RF-MEM-01,12,,,,
EXP-02,RF-INS-01,13,,,,
EXP-02,RF-INV-01,14,,,,
EXP-02,RF-PAG-02,15,,,,
EXP-02,RF-ASI-01,16,,,,
EXP-02,RF-VEN-01,17,,,,
EXP-02,RF-CLI-02,18,,,,
EXP-02,RF-INV-02,19,,,,
EXP-02,RF-MEM-03,20,,,,
EXP-02,RF-CLI-03,21,,,,
EXP-02,RF-AUT-02,22,,,,
EXP-02,RF-PAG-01,23,,,,
EXP-02,RF-NOV-01,24,,,,
EXP-02,RF-MEM-02,25,,,,
EXP-03,RF-CAJ-01,1,,,,
EXP-03,RF-INS-01,2,,,,
EXP-03,RF-PAG-02,3,,,,
EXP-03,RF-MEM-01,4,,,,
EXP-03,RF-RUT-01,5,,,,
EXP-03,RF-CLI-03,6,,,,
EXP-03,RF-MEM-04,7,,,,
EXP-03,RF-ASI-02,8,,,,
EXP-03,RF-MEM-03,9,,,,
EXP-03,RF-INV-01,10,,,,
EXP-03,RF-MEM-02,11,,,,
EXP-03,RF-INV-02,12,,,,
EXP-03,RF-INV-03,13,,,,
EXP-03,RF-RUT-02,14,,,,
EXP-03,RF-AUT-02,15,,,,
EXP-03,RF-RUT-03,16,,,,
EXP-03,RF-CLI-02,17,,,,
EXP-03,RF-PAG-01,18,,,,
EXP-03,RF-CLI-01,19,,,,
EXP-03,RF-NOV-01,20,,,,
EXP-03,RF-REP-01,21,,,,
EXP-03,RF-VEN-01,22,,,,
EXP-03,RF-AUT-01,23,,,,
EXP-03,RF-ASI-01,24,,,,
EXP-03,RF-AUT-03,25,,,,
