Codigo,Categoria,Definicion,Incluir_cuando,Excluir_cuando,Ejemplo_ID,Ejemplo_fragmento,Notas
ASIS_AUTOMATIZACION,Asistencia y automatizacion,El QR reduce carga manual de control de asistencia.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-01-F001,"...hay un poco de facilidad... en el tema de asistencia... de los códigos QR... no estar pendiente de quién llegó, a qué hora llegó...",Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
RUT_PERSONALIZACION,Rutinas y personalizacion,El instructor valora poder ampliar/ajustar rutinas.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-01-F002,...de las rutinas... poder agregar más cosas que uno va aprendiendo... facilita más las cosas...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
USAB_NAVEGACION_CLARA,Usabilidad y navegacion,La separación por módulos favorece claridad.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-01-F003,No siento que haya mucha información junto porque... está por separado cada una de las cosas que debe hacerse...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
USAB_EFICIENCIA_FLUJO,Usabilidad y navegacion,El flujo se percibe eficiente para tareas diarias.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-01-F004,...no creo que me tome demasiado tiempo... uno puede irlo generando semanal o mensual... con la asistencia nos da facilidad...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
INFO_ETIQUETAS_CLARAS,Claridad e informacion,Los campos e íconos son comprensibles para el instructor.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-01-F005,"...está todo... detallado... códigos, nombres, apellido, identificación, la fecha, el género, los correos, teléfonos...",Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
USAB_RECUPERACION_ERRORES,Prevencion y recuperacion de errores,Falta una opción evidente para cancelar o volver atrás.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-01-F006,...eso de cancelación no... no lo vi. Entonces... falta en esa parte...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
INFO_DASHBOARD,Claridad e informacion,El dashboard contiene la información diaria prioritaria para instructor.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-01-F007,...lo que se ve ahí es lo que... tenemos que tener... los alumnos asignados y... las asistencias que va el día de hoy.,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
RUT_GUIA_EXPLICATIVA,Rutinas y personalizacion,"Aunque el sistema es fácil, el instructor identifica necesidad de orientación para escoger una rutina inicial.","El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-01-F008,...se ve fácil... añadir hasta nuevas rutinas... aunque... necesitaría ver con cuál rutina es que debería empezar...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
CLI_AUTOSERVICIO,"Clientes, membresias y pagos",El recepcionista propone integrar registro de cliente y pago/membresía.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-02-F003,El registrar pago y registrar los clientes... tendría que estar incluido al registrar un cliente...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
INFO_PRIORIZACION_INFORMACION,Claridad e informacion,La información visible se considera suficiente.,"El participante expresa una necesidad, problema, valoración o recomendación que corresponda directamente a esta definición.","El contenido es solo explicación del presentador, una pregunta sin respuesta evaluativa, o trata un tema distinto.",WALK-NTEC-02-F004,...tiene la información necesaria... me parece bastante intuitivo...,Código normalizado usado para comparación entre perfiles; el CSV principal conserva además el código abierto específico.
