Fragmento,Codigo,Tipo_codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador,Transcripcion,Participante,Rol,Lineas,Codigo_abierto_original,Subcategoria_original,Naturaleza_fragmento,Incluir_en_saturacion,Estado_revision,Version_fuente,Observacion_metodologica
Usa Excel y necesita control formal de bebidas.,REGISTROS_DISPERSOS,CODIGO_TEMATICO,Centralización y calidad de registros,RF-INV-01;RF-INV-02,EV-ENTR01-01,Equipo FabroGym,ENTR-01,P01,Propietario/administracion,L39-L41,registros_fragmentados,Centralizacion,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Registro de cliente, membresia y pago requiere una aplicacion consultable.",GESTION_CLIENTES_MEMBRESIAS,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-CLI-01;RF-MEM-02;RF-PAG-01,EV-ENTR01-02,Equipo FabroGym,ENTR-01,P01,Propietario/administracion,L53-L59,alta_cliente_membresia,Clientes y membresias,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Las fechas se controlan en notas y capturas de WhatsApp.,CONTROL_VIGENCIA_ACCESO,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-MEM-03;RF-MEM-04,EV-ENTR01-03,Equipo FabroGym,ENTR-01,P01,Propietario/administracion,L62-L75,alerta_vencimiento,Membresias,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
No existe inventario formal; el reabastecimiento depende de observacion.,CONTROL_INVENTARIO_VENTAS,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-INV-02;RF-INV-03,EV-ENTR01-04,Equipo FabroGym,ENTR-01,P01,Propietario/administracion,L78-L86,stock_no_confiable,Inventario y ventas,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Revisa membresias, rutinas y cargas para tomar decisiones.",REPORTES_DECISION,CODIGO_TEMATICO,"Comunicación, reportes y continuidad",RF-REP-01;RF-RUT-02,EV-ENTR01-05,Equipo FabroGym,ENTR-01,P01,Propietario/administracion,L89-L93,reporte_operativo,Reportes,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Pide consulta de vigencia, inventario y acceso por tarjeta.",CONTROL_VIGENCIA_ACCESO,CODIGO_TEMATICO,"Clientes, membresías y acceso",RF-MEM-03;RF-ASI-01,EV-ENTR01-06,Equipo FabroGym,ENTR-01,P01,Propietario/administracion,L107-L114,consulta_autoservicio,Acceso y consulta,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"El turno comienza y termina con revision de pendientes, pagos y comprobantes.",CIERRE_CAJA_TURNO,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-NOV-01;RF-CAJ-01,EV-ENTR02-01,Equipo FabroGym,ENTR-02,P02,Recepcion,L27-L30,traspaso_turno,Operacion de turnos,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Los datos pasan de formulario a hoja de calculo.,REGISTROS_DISPERSOS,CODIGO_TEMATICO,Centralización y calidad de registros,RF-CLI-01;RF-CLI-03,EV-ENTR02-02,Equipo FabroGym,ENTR-02,P02,Recepcion,L36-L42,doble_registro,Clientes,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
Busca membresia y asistencia; nombres parecidos generan riesgo de error.,CENTRALIZACION_CONSULTA,CODIGO_TEMATICO,Centralización y calidad de registros,RF-CLI-02;RF-ASI-01,EV-ENTR02-03,Equipo FabroGym,ENTR-02,P02,Recepcion,L45-L49,busqueda_ineficiente,Clientes y asistencia,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
"Un pago no reflejado exige comprobante, correccion atribuible y nueva vigencia.",GESTION_PAGOS,CODIGO_TEMATICO,"Operación financiera, ventas e inventario",RF-PAG-01;RF-PAG-02;RF-MEM-02,EV-ENTR02-04,Equipo FabroGym,ENTR-02,P02,Recepcion,L52-L61,pago_pendiente,Pagos,Paráfrasis analítica,Sí,CONSOLIDADO_CON_FUENTE_GITHUB,69ce996dad54031881c378cb7d7c1ec68e078f8f,
