Marca temporal,Confirmación inicial,  ¿Con qué frecuencia asiste al gimnasio?  ,  ¿Cuánto tiempo lleva asistiendo a este gimnasio?  ,  ¿Cómo suele consultar o confirmar el estado de su membresía?  ,  ¿Con qué frecuencia ha tenido dificultad para conocer la fecha de vencimiento de su membresía?  ,¿Con qué frecuencia ha debido esperar para confirmar que un pago fue registrado correctamente?  ,¿Qué medio prefiere para recibir avisos sobre el vencimiento de su membresía?  ,¿Qué tan fácil le resulta inscribirse o actualizar sus datos en el gimnasio?  ,"¿Qué tan clara considera la información sobre los planes, precios y condiciones de las membresías?  ",¿Qué tan satisfecho(a) está con la atención recibida por parte del personal del gimnasio?  ,¿Cómo se registra normalmente su ingreso al gimnasio?  ,¿Con qué frecuencia consulta su rutina o solicita cambios al entrenador?  ,¿Qué información le gustaría poder consultar en el futuro sistema?  ,¿Ha tenido dificultades al comprar productos dentro del gimnasio?  ,¿Qué aspecto considera que debería mejorarse primero?  ,¿Qué tan importante considera la privacidad de sus datos personales?  ,Escriba un comentario opcional sobre su experiencia en el gimnasio. No incluya nombres ni datos de salud.  ,"¿Qué cambio facilitaría más su experiencia con la membresía, los pagos o el registro de asistencia?  ",¿Qué función adicional le gustaría encontrar en el futuro sistema?  ,Nombre de participante,Columna 21
27/07/2026 2:04:05,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,De 1 a 6 meses,No suele verificarlo,Nunca,Nunca,Correo electrónico,Fácil,Clara,Satisfecho(a),Aviso verbal,Una vez al mes,Avisos y novedades,No he tenido dificultades,Membresías,Muy importante,,Que se automatice el proceso,,,
27/07/2026 2:06:02,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,No voy al gym,Nunca,Nunca,WhatsApp,Fácil,Clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Varias veces por semana,Estado de la membresía,No compro,Comunicación y avisos,Muy importante,,Nada ,,,
27/07/2026 2:26:32,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,A veces,A veces,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Sistema digital,Cada quince días,Registro de asistencia,Precio poco claro o diferente,Atención al cliente,Moderadamente importante,,Que existan más opciones de pago,,,
27/07/2026 2:36:16,Acepto participar voluntariamente y declaro tener 18 años o más.,6 o más veces por semana,Menos de 1 mes,Tarjeta o credencial,Nunca,A veces,WhatsApp,Muy difícil,Muy clara,Ni satisfecho(a) ni insatisfecho(a),Tarjeta o credencial,Nunca,Avisos y novedades,No he tenido dificultades,Membresías,Nada importante,Muy mala ,Tarjeta de credito,Ninguno,,
27/07/2026 3:00:20,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Consulta verbal en recepción,Siempre,A veces,Notificación del sistema,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Sistema digital,Una vez por semana,Compras de productos,Precio poco claro o diferente,Membresías,Importante,,Me facilitaría poder llevar un mejor orden de cada cosa,,,
27/07/2026 7:32:40,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,Casi nunca,Nunca,Correo electrónico,Ni fácil ni difícil,Clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Avisos y novedades,Falta de disponibilidad,Comunicación y avisos,Muy importante,,Que sea digital,,,
27/07/2026 7:47:43,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Mensaje por WhatsApp u otro medio,Casi nunca,Casi nunca,No deseo recibir avisos,Ni fácil ni difícil,Ni clara ni poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Cada quince días,Rutina asignada,Demora o error en el registro o pago,Inventario y ventas,Importante,Debería tener un botiquín ,No se,Algo bueno,,
27/07/2026 11:27:18,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,Casi nunca,A veces,Notificación del sistema,Difícil,Poco clara,Ni satisfecho(a) ni insatisfecho(a),Cuaderno o lista impresa,Una vez al mes,Rutina asignada,No he tenido dificultades,Membresías,Muy importante,,Pagos,,,
27/07/2026 14:42:52,Acepto participar voluntariamente y declaro tener 18 años o más.,6 o más veces por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi nunca,WhatsApp,Fácil,Clara,Muy satisfecho(a),Cuaderno o lista impresa,Una vez al mes,Pagos realizados,No he tenido dificultades,Atención al cliente,Muy importante,,Tener un portal o app donde pueda descargar mis recibos y ver mi estado de cuenta al instante,,,
27/07/2026 14:56:41,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Más de 1 año,Consulta verbal en recepción,Casi siempre,Siempre,Correo electrónico,Ni fácil ni difícil,Poco clara,Insatisfecho(a),Aviso verbal,Una vez al mes,Estado de la membresía,No he tenido dificultades,Membresías,Nada importante,Ha sido muy mala,Tener una opción en una app,Alertas de membresía acabada,,
27/07/2026 14:57:36,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,A veces,Casi siempre,WhatsApp,Ni fácil ni difícil,Ni clara ni poco clara,Satisfecho(a),Cuaderno o lista impresa,Cada quince días,Rutina asignada,Demora o error en el registro o pago,Membresías,Importante,Le falta organización ,Registro de asistencia ,Recordatorios claros,,
27/07/2026 14:58:40,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Consulta verbal en recepción,A veces,A veces,Aviso presencial,Ni fácil ni difícil,Ni clara ni poco clara,Satisfecho(a),Aviso verbal,Una vez al mes,Estado de la membresía,No he tenido dificultades,Inventario y ventas,Muy importante,,Más inventario de ejercicios ,,,
27/07/2026 17:43:48,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Más de 1 año,Consulta verbal en recepción,Nunca,Nunca,Aviso presencial,Fácil,Clara,Satisfecho(a),No se registra,Una vez por semana,Rutina asignada,Falta de disponibilidad,Rutinas,Importante,,El registro de asistencia ,Un mejor ambiente ,,
27/07/2026 18:36:37,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,Menos de 1 mes,Consulta verbal en recepción,Nunca,Casi nunca,WhatsApp,Fácil,Clara,Muy satisfecho(a),Sistema digital,Nunca,Registro de asistencia,No he tenido dificultades,Pagos,Poco importante,Muy buena,Ninguno,Personal,,
27/07/2026 19:21:01,Acepto participar voluntariamente y declaro tener 18 años o más.,2 a 3 veces por semana,De 1 a 6 meses,Mensaje por WhatsApp u otro medio,A veces,Casi nunca,WhatsApp,Ni fácil ni difícil,Clara,Satisfecho(a),Cuaderno o lista impresa,Cada quince días,Estado de la membresía,No he tenido dificultades,Membresías,Importante,fue Buena experiencia,tener un buen control,tener un sistema para poder registrarme mejor,,
27/07/2026 19:37:40,Acepto participar voluntariamente y declaro tener 18 años o más.,1 vez por semana,Menos de 1 mes,Consulta verbal en recepción,Casi nunca,Nunca,Correo electrónico,Ni fácil ni difícil,Clara,Ni satisfecho(a) ni insatisfecho(a),No se registra,Una vez al mes,Registro de asistencia,Otra dificultad,Atención al cliente,Importante,,Permitir pagos en línea e ingreso mediante código QR para evitar filas y agilizar el registro,,,
