ID_RF,Descripcion,MoSCoW,Kano,Valor_de_negocio,Urgencia_temporal,Reduccion_de_riesgo,Tamano_o_esfuerzo,WSJF
RF-AUT-01,Autenticar usuario,Must,Must-be,10,10,9,3,9.67
RF-MEM-03,Consultar vigencia,Must,Performance,8,7,6,3,7.0
RF-CLI-02,Buscar y consultar cliente,Must,Performance,8,7,6,3,7.0
RF-PAG-01,Registrar pago y comprobante,Must,Must-be,10,9,8,4,6.75
RF-MEM-02,Activar o renovar membresía,Must,Must-be,10,9,8,4,6.75
RF-ASI-01,Registrar asistencia,Must,Must-be,9,8,7,4,6.0
RF-CLI-01,Registrar cliente mínimo,Must,Performance,9,8,7,4,6.0
RF-VEN-01,Registrar venta,Must,Must-be,9,8,7,4,6.0
RF-ASI-02,Consultar asistencia,Must,Performance,7,6,5,3,6.0
RF-MEM-04,Alertar vencimientos,Must,Attractive,7,7,7,4,5.25
RF-AUT-02,Aplicar permisos por rol,Must,Must-be,9,8,9,5,5.2
RF-INV-01,Administrar productos,Must,Performance,8,6,6,4,5.0
RF-CAJ-01,Cerrar turno y conciliar caja,Must,Performance,8,8,8,5,4.8
RF-RUT-02,Registrar seguimiento,Must,Attractive,7,6,6,4,4.75
RF-CLI-03,Actualizar/reactivar/duplicar cliente,Must,Performance,7,6,6,4,4.75
RF-NOV-01,Gestionar novedades internas,Must,Attractive,6,6,7,4,4.75
RF-INV-02,Registrar movimientos de stock,Must,Performance,8,7,8,5,4.6
RF-MEM-01,Configurar planes y promociones,Must,Performance,8,7,7,5,4.4
RF-RUT-01,Administrar rutinas,Must,Performance,8,7,6,5,4.2
