ID_Traza,Ley_Fuente,Articulo,Objetivo,Stakeholder,ID_Evidencia,ID_Requisito,Tipo,ID_CU,ID_HU,ID_CA,Componente,ID_Mockup,MoSCoW,Estado_Cierre,Nota
TR-2B-001,LOPDP,Art. 10,Garantizar tratamiento lícito y minimización de datos,Personal autorizado,EV-ENTR02-07,RF-AUT-01,RF,CU-01,HU-01,CA-01,Seguridad,MU-01,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-002,LOPDP,Art. 20,Controlar acceso por roles y permisos,Administrador,EV-ENTR02-07,RF-AUT-02,RF,CU-02,HU-02,CA-02,Seguridad,MU-22;MU-32,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-003,LOPDP,Art. 20,Controlar acceso por roles y permisos,Administrador,EV-ENTR03-06,RF-AUT-02,RF,CU-02,HU-02,CA-02,Seguridad,MU-22;MU-32,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-004,LOPDP,Art. 20,Controlar acceso por roles y permisos,Administrador,EV-ENTR08-04,RF-AUT-02,RF,CU-02,HU-02,CA-02,Seguridad,MU-22;MU-32,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-005,LOPDP,Art. 24,Asegurar trazabilidad de eventos críticos,Administrador,EV-ENTR02-04,RF-AUT-03,RF,N/A,N/A,CA-N/A,Auditoría,MU-25,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-006,LOPDP,Art. 24,Asegurar trazabilidad de eventos críticos,Administrador,EV-ENTR02-07,RF-AUT-03,RF,N/A,N/A,CA-N/A,Auditoría,MU-25,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-007,LOPDP,Art. 24,Asegurar trazabilidad de eventos críticos,Administrador,EV-ENTR03-06,RF-AUT-03,RF,N/A,N/A,CA-N/A,Auditoría,MU-25,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-008,Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR01-02,RF-CLI-01,RF,CU-03,HU-03,CA-03,Clientes,MU-12;MU-37,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-009,Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR02-02,RF-CLI-01,RF,CU-03,HU-03,CA-03,Clientes,MU-12;MU-37,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-010,Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR03-02,RF-CLI-01,RF,CU-03,HU-03,CA-03,Clientes,MU-12;MU-37,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-011,Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR08-01,RF-CLI-01,RF,CU-03,HU-03,CA-03,Clientes,MU-12;MU-37,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-012,Civil/Operación,Art. N/A,Consultar ficha de cliente,Recepción,EV-ENTR02-03,RF-CLI-02,RF,CU-04,HU-04,CA-04,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-013,Civil/Operación,Art. N/A,Consultar ficha de cliente,Recepción,EV-ENTR02-08,RF-CLI-02,RF,CU-04,HU-04,CA-04,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-014,Civil/Operación,Art. N/A,Consultar ficha de cliente,Recepción,EV-ENTR08-05,RF-CLI-02,RF,CU-04,HU-04,CA-04,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-015,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR02-02,RF-CLI-03,RF,CU-05,HU-05,CA-05,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-016,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR03-02,RF-CLI-03,RF,CU-05,HU-05,CA-05,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-017,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR04-01,RF-CLI-03,RF,CU-05,HU-05,CA-05,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-018,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR05-02,RF-CLI-03,RF,CU-05,HU-05,CA-05,Clientes,MU-11;MU-36,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-019,Operación,Art. N/A,Configurar catálogo de planes,Administrador,EV-ENTR02-01,RF-MEM-01,RF,CU-06,HU-06,CA-06,Membresías,MU-68,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-020,Operación,Art. N/A,Configurar catálogo de planes,Administrador,EV-ENTR04-01,RF-MEM-01,RF,CU-06,HU-06,CA-06,Membresías,MU-68,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-021,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR01-02,RF-MEM-02,RF,CU-07,HU-07,CA-07,Membresías,MU-14;MU-39,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-022,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR02-04,RF-MEM-02,RF,CU-07,HU-07,CA-07,Membresías,MU-14;MU-39,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-023,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR03-01,RF-MEM-02,RF,CU-07,HU-07,CA-07,Membresías,MU-14;MU-39,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-024,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR04-03,RF-MEM-02,RF,CU-07,HU-07,CA-07,Membresías,MU-14;MU-39,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-025,Operación,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR01-03,RF-MEM-03,RF,CU-08,HU-08,CA-08,Membresías,MU-13;MU-38;MU-63(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-026,Operación,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR02-03,RF-MEM-03,RF,CU-08,HU-08,CA-08,Membresías,MU-13;MU-38;MU-63(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-027,Operación,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR03-03,RF-MEM-03,RF,CU-08,HU-08,CA-08,Membresías,MU-13;MU-38;MU-63(F),Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
