tipo,id_anterior,id_nuevo,nombre_requisito,accion,observaciones
RF,RF-AUT-01,RF-01,Garantizar tratamiento lícito y minimización de datos,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-AUT-02,RF-02,Controlar acceso por roles y permisos,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-AUT-03,RF-03,Asegurar trazabilidad de eventos críticos,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-CLI-01,RF-04,Registrar datos mínimos de cliente,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-CLI-02,RF-05,Consultar ficha de cliente,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-CLI-03,RF-06,Actualizar y reactivar cliente,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-MEM-01,RF-07,Configurar catálogo de planes,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-MEM-02,RF-08,Activar y renovar membresía,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-MEM-03,RF-09,Consultar vigencia,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-MEM-04,RF-10,Alertar vencimientos,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-PAG-01,RF-11,Registrar pago y comprobante,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-PAG-02,RF-12,Resolver pagos pendientes,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-ASI-01,RF-13,Registrar asistencia,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-ASI-02,RF-14,Consultar asistencia,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-INV-01,RF-15,Administrar productos,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-INV-02,RF-16,Registrar movimientos de stock,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-VEN-01,RF-17,Registrar venta,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-INV-03,RF-18,Alertar stock y rotación,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-CAJ-01,RF-19,Cerrar turno y conciliar caja,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-NOV-01,RF-20,Gestionar novedades internas,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-INS-01,RF-21,Gestionar horario y disponibilidad de instructor,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
RF,RF-RUT-01,RF-22,Administrar rutinas,RENOMBRADO,Cambio exclusivo de identificador; contenido y trazas conservados.
