variable,etiqueta_original,tipo,valores_observados_o_regla,datos_personales
id_respuesta,ID de respuesta,identificador_seudonimo,ENC-CLI-001 a ENC-CLI-032,No
consentimiento,Confirmación inicial,categorica,Acepto participar voluntariamente y declaro tener 18 años o más.,No
frecuencia_asistencia,¿Con qué frecuencia asiste al gimnasio?,categorica,1 vez por semana | 2 a 3 veces por semana | 4 a 5 veces por semana | 6 o más veces por semana,No
antiguedad_gimnasio,¿Cuánto tiempo lleva asistiendo a este gimnasio?,categorica,De 1 a 6 meses | De 7 a 12 meses | Menos de 1 mes | Más de 1 año,No
consulta_membresia,¿Cómo suele consultar o confirmar el estado de su membresía?,categorica,Consulta verbal en recepción | Mensaje por WhatsApp u otro medio | No suele verificarlo | No voy al gym | Pago diariamente | Tarjeta o credencial,No
dificultad_vencimiento,¿Con qué frecuencia ha tenido dificultad para conocer la fecha de vencimiento de su membresía?,categorica,A veces | Casi nunca | Casi siempre | Nunca | Siempre,No
espera_confirmacion_pago,¿Con qué frecuencia ha debido esperar para confirmar que un pago fue registrado correctamente?,categorica,A veces | Casi nunca | Casi siempre | Nunca | Siempre,No
medio_preferido_avisos,¿Qué medio prefiere para recibir avisos sobre el vencimiento de su membresía?,categorica,Aviso presencial | Correo electrónico | No deseo recibir avisos | Notificación del sistema | WhatsApp,No
facilidad_inscripcion_actualizacion,¿Qué tan fácil le resulta inscribirse o actualizar sus datos en el gimnasio?,categorica,Difícil | Fácil | Muy difícil | Muy fácil | Ni fácil ni difícil,No
claridad_planes_precios,"¿Qué tan clara considera la información sobre los planes, precios y condiciones de las membresías?",categorica,Clara | Muy clara | Ni clara ni poco clara | Poco clara,No
satisfaccion_atencion,¿Qué tan satisfecho(a) está con la atención recibida por parte del personal del gimnasio?,categorica,Insatisfecho(a) | Muy insatisfecho(a) | Muy satisfecho(a) | Ni satisfecho(a) ni insatisfecho(a) | Satisfecho(a),No
registro_ingreso,¿Cómo se registra normalmente su ingreso al gimnasio?,categorica,Aviso verbal | Cuaderno o lista impresa | No se registra | Sistema digital | Tarjeta o credencial,No
consulta_cambio_rutina,¿Con qué frecuencia consulta su rutina o solicita cambios al entrenador?,categorica,Cada quince días | Nunca | Una vez al mes | Una vez por semana | Varias veces por semana,No
informacion_futuro_sistema,¿Qué información le gustaría poder consultar en el futuro sistema?,categorica,Avisos y novedades | Compras de productos | Estado de la membresía | Pagos realizados | Registro de asistencia | Rutina asignada,No
dificultades_compra_productos,¿Ha tenido dificultades al comprar productos dentro del gimnasio?,categorica,Demora o error en el registro o pago | Falta de disponibilidad | No compro | No he tenido dificultades | Otra dificultad | Precio poco claro o diferente,No
prioridad_mejora,¿Qué aspecto considera que debería mejorarse primero?,categorica,Atención al cliente | Comunicación y avisos | Inventario y ventas | Membresías | Pagos | Rutinas,No
importancia_privacidad,¿Qué tan importante considera la privacidad de sus datos personales?,categorica,Importante | Moderadamente importante | Muy importante | Nada importante | Poco importante,No
comentario_experiencia,Escriba un comentario opcional sobre su experiencia en el gimnasio. No incluya nombres ni datos de salud.,texto_abierto,Texto libre; puede estar vacío,"No, tras revisión manual"
cambio_facilitador,"¿Qué cambio facilitaría más su experiencia con la membresía, los pagos o el registro de asistencia?",texto_abierto,Texto libre; puede estar vacío,"No, tras revisión manual"
funcion_adicional,¿Qué función adicional le gustaría encontrar en el futuro sistema?,texto_abierto,Texto libre; puede estar vacío,"No, tras revisión manual"
