key,year,doi_or_identifier,verification,status
iso29148,2018,,"DOI verified / official standard, legal or institutional source",VERIFIED
iso25010,2023,,"DOI verified / official standard, legal or institutional source",VERIFIED
pohl2010,2010,10.1007/978-3-642-12578-2,"DOI verified / official standard, legal or institutional source",VERIFIED
swebok2024,2024,,"DOI verified / official standard, legal or institutional source",VERIFIED
wohlin2012,2012,10.1007/978-3-642-29044-2,"DOI verified / official standard, legal or institutional source",VERIFIED
runeson2009,2009,10.1007/s10664-008-9102-8,"DOI verified / official standard, legal or institutional source",VERIFIED
jedlitschka2008,2008,10.1007/978-1-84800-044-5_8,"DOI verified / official standard, legal or institutional source",VERIFIED
hennink2017,2017,10.1177/1049732316665344,"DOI verified / official standard, legal or institutional source",VERIFIED
guest2006,2006,10.1177/1525822X05279903,"DOI verified / official standard, legal or institutional source",VERIFIED
hagaman2017,2017,10.1177/1525822X16640447,"DOI verified / official standard, legal or institutional source",VERIFIED
molleri2020,2020,10.1016/j.infsof.2019.106240,"DOI verified / official standard, legal or institutional source",VERIFIED
nosek2018,2018,10.1073/pnas.1708274114,"DOI verified / official standard, legal or institutional source",VERIFIED
wilkinson2016,2016,10.1038/sdata.2016.18,"DOI verified / official standard, legal or institutional source",VERIFIED
sandve2013,2013,10.1371/journal.pcbi.1003285,"DOI verified / official standard, legal or institutional source",VERIFIED
peng2011,2011,10.1126/science.1213847,"DOI verified / official standard, legal or institutional source",VERIFIED
birt2016,2016,10.1177/1049732316654870,"DOI verified / official standard, legal or institutional source",VERIFIED
chazette2020,2020,10.1007/s00766-020-00333-1,"DOI verified / official standard, legal or institutional source",VERIFIED
chazette2021,2021,10.1109/RE51729.2021.00025,"DOI verified / official standard, legal or institutional source",VERIFIED
chazette2022,2022,10.1007/s00766-022-00393-5,"DOI verified / official standard, legal or institutional source",VERIFIED
miller2019,2019,10.1016/j.artint.2018.07.007,"DOI verified / official standard, legal or institutional source",VERIFIED
ribeiro2016,2016,10.18653/v1/N16-3020,"DOI verified / official standard, legal or institutional source",VERIFIED
sokol2020,2020,10.1145/3351095.3372870,"DOI verified / official standard, legal or institutional source",VERIFIED
zhangchen2020,2020,10.1561/1500000066,"DOI verified / official standard, legal or institutional source",VERIFIED
gedikli2014,2014,10.1016/j.ijhcs.2013.12.007,"DOI verified / official standard, legal or institutional source",VERIFIED
herlocker2000,2000,10.1145/358916.358995,"DOI verified / official standard, legal or institutional source",VERIFIED
glinz2007,2007,10.1109/RE.2007.45,"DOI verified / official standard, legal or institutional source",VERIFIED
nuseibeh2000,2000,10.1145/336512.336523,"DOI verified / official standard, legal or institutional source",VERIFIED
lamsweerde2001,2001,10.1109/ISRE.2001.948567,"DOI verified / official standard, legal or institutional source",VERIFIED
ferrari2016,2016,10.1007/s00766-016-0249-3,"DOI verified / official standard, legal or institutional source",VERIFIED
fischbach2023,2023,10.1016/j.jss.2022.111549,"DOI verified / official standard, legal or institutional source",VERIFIED
mendez2017,2017,10.1007/s10664-016-9451-7,"DOI verified / official standard, legal or institutional source",VERIFIED
smith2016,2016,10.7717/peerj-cs.86,"DOI verified / official standard, legal or institutional source",VERIFIED
dicosmo2020,2020,10.1109/MCSE.2019.2963148,"DOI verified / official standard, legal or institutional source",VERIFIED
siegmund2015,2015,10.1109/ICSE.2015.24,"DOI verified / official standard, legal or institutional source",VERIFIED
amaral2021,2021,10.1109/REW53955.2021.00009,"DOI verified / official standard, legal or institutional source",VERIFIED
cohen1960,1960,10.1177/001316446002000104,"DOI verified / official standard, legal or institutional source",VERIFIED
fleiss1971,1971,10.1037/h0031619,"DOI verified / official standard, legal or institutional source",VERIFIED
simmons2011,2011,10.1177/0956797611417632,"DOI verified / official standard, legal or institutional source",VERIFIED
kerr1998,1998,10.1207/s15327957pspr0203_4,"DOI verified / official standard, legal or institutional source",VERIFIED
cohen1988,1988,,"DOI verified / official standard, legal or institutional source",VERIFIED
kitchenham2007,2007,,"DOI verified / official standard, legal or institutional source",VERIFIED
lopdp2021,2021,,"DOI verified / official standard, legal or institutional source",VERIFIED
wcag2024,2024,,"DOI verified / official standard, legal or institutional source",VERIFIED
owasp2025,2025,,"DOI verified / official standard, legal or institutional source",VERIFIED
nist2025,2025,,"DOI verified / official standard, legal or institutional source",VERIFIED
spdp2025,2025,,"DOI verified / official standard, legal or institutional source",VERIFIED
