ID_Registro,Codigo_Sesion,Perfil,Rol_Contexto,Fuente,Timestamp,Fragmento
WALK-NTEC-01-F002,WALK-NTEC-01,No tecnico,Instructor/entrenador,WALK-NTEC-01_Transcripcion_Anonimizada.txt,12:03-12:57,...de las rutinas... poder agregar más cosas que uno va aprendiendo... facilita más las cosas...
WALK-NTEC-01-F006,WALK-NTEC-01,No tecnico,Instructor/entrenador,WALK-NTEC-01_Transcripcion_Anonimizada.txt,15:09-15:36,...eso de cancelación no... no lo vi. Entonces... falta en esa parte...
WALK-NTEC-02-F002,WALK-NTEC-02,No tecnico,Recepcionista,WALK-NTEC-02_Transcripcion_Anonimizada.txt,10:21-11:51,"...podría cambiar para ver la diferencia de los últimos 7 días a los 15 días, 1 mes, 2 meses... cómo ha crecido o caído los ingresos..."
WALK-NTEC-02-F006,WALK-NTEC-02,No tecnico,Recepcionista,WALK-NTEC-02_Transcripcion_Anonimizada.txt,14:34-15:02,...todo ha sido fácil de entender hasta ahora.
WALK-NTEC-03-F003,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,12:33-13:05,Las rutinas... ¿son visualizadas de forma general... o puedo especificar...? ...me parece mejor así... para cada persona.
WALK-NTEC-03-F009,WALK-NTEC-03,No tecnico,Dueno del gimnasio,WALK-NTEC-03_Transcripcion_Anonimizada.txt,20:01-21:30,"...para el trabajo diario... está completo, solo habría que ver... cómo se va a visualizar en el celular si no se satura..."
WALK-TEC-01-F003,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,10:23-11:28,...debería visualizar... la lista... observaciones... fecha y hora... un registro previo... ¿dónde yo veo... mi propia rutina?... tener un registro...
WALK-TEC-01-F008,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,16:40-17:07,...tiene que haber un teléfono para contactar... el WhatsApp sí.
WALK-TEC-01-F013,WALK-TEC-01,Tecnico,Ingenieria de software,WALK-TEC-01_Transcripcion_Anonimizada.txt,21:08-21:48,...yo como cliente necesito ver si he pagado... si en la plataforma está registrada que pagué o no pagué...
WALK-TEC-02-F003,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,09:16-10:44,"...con pocos roles, no hace falta hacer todo ese proceso... el administrador ingresa y crea el usuario nuevo y le asigna el rol..."
WALK-TEC-02-F008,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,15:58-16:23,...cada cliente tenga su rutina y que la pueda verificar... el entrenador pueda revisar... la valida.
WALK-TEC-02-F014,WALK-TEC-02,Tecnico,Ingenieria de software y bases de datos,WALK-TEC-02_Transcripcion_Anonimizada.txt,21:49-22:35,...colores y... palabras está muy bien... intuitivo... tienen notas de uso... estadísticas... bastante usable.
WALK-TEC-03-F003,WALK-TEC-03,Tecnico,Ingenieria de software,WALK-TEC-03_Transcripcion_Anonimizada.txt,10:05-11:20,...pregunta de seguridad... lista predefinida... no recomendable... manual...
WALK-TEC-03-F008,WALK-TEC-03,Tecnico,Ingenieria de software,WALK-TEC-03_Transcripcion_Anonimizada.txt,20:30-21:30,...Ventas... directamente... registrar una venta... botón... historial; es un paso de más que se puede ahorrar.
WALK-TEC-03-F013,WALK-TEC-03,Tecnico,Ingenieria de software,WALK-TEC-03_Transcripcion_Anonimizada.txt,31:00-32:30,...manualmente... en una hora pico... demasiado lento. Lo recomendable es automático... si falla... registrarlos manualmente...
WALK-TEC-03-F018,WALK-TEC-03,Tecnico,Ingenieria de software,WALK-TEC-03_Transcripcion_Anonimizada.txt,41:00-43:00,...corrección general es manejar mejor el tema de colores... las tarjetas no se identifican directamente.
