ruta_interna,nombre_archivo,tipo_evidencia,fecha_sesion,fecha_procesamiento,codigo_participante,duracion,codec_formato,tamano_kb_reportado,sha256,estado_revision,observaciones
Entrevistas/ENTR-01/ENTR-01_Audio.mp3,ENTR-01_Audio.mp3,audio,2026-07-28,2026-08-02 00:28,ENTR-01,00:11:25,MP3,10448,2386706802f9612509f7d8b7ed0c9e7f45d9593ce986e2ca99ce4a24f1de5ff3,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-01/ENTR-01_Consentimiento_Original.pdf,ENTR-01_Consentimiento_Original.pdf,consentimiento,2026-07-28,2026-08-02 13:12,ENTR-01,NO_APLICA,PDF,566,f936e12a5e5984bfc27a655c8818366ae54363be3269614f8e3bb7a2b9e97f36,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-01/ENTR-01_Video.mp4,ENTR-01_Video.mp4,video,2026-07-28,2026-08-02 01:37,ENTR-01,00:11:08,MP4; códec interno pendiente,76294,fe7a760e6345850307ca51ae5fa27fee3406f2fb93039c3a059549c0066b7b15,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
Entrevistas/ENTR-02/Entr-02 Video.mp4,Entr-02 Video.mp4,video,2026-07-27,2026-08-02 11:17,ENTR-02,00:22:12,MP4; códec interno pendiente,58761,b39b686d3ac21dcafab54411248bf03d45d098d8c6063d6b2a05c20fba3bff88,PENDIENTE_CODEC_VIDEO;REVISAR_NOMBRE,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha. Nombre inconsistente; se recomienda ENTR-02_Video.mp4 antes de la versión final."
Entrevistas/ENTR-02/ENTR-02_Audio.mp3,ENTR-02_Audio.mp3,audio,2026-07-27,2026-08-02 11:12,ENTR-02,00:22:13,MP3,20836,bf74fcd4e0df2c1168aaa094d5f871363d6ae379db47362f739de851d9a05d0a,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-02/ENTR-02_Consentimiento_Original.pdf,ENTR-02_Consentimiento_Original.pdf,consentimiento,2026-07-27,2026-08-02 17:01,ENTR-02,NO_APLICA,PDF,223,64bb7242d9e81ced0a5bdccbea17f50141597eb25e862d0553d6461199732c2c,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-03/ENTR-03_Audio.mp3,ENTR-03_Audio.mp3,audio,2026-07-27,2026-07-31 23:11,ENTR-03,00:22:51,MP3,20896,d0139b56f20d82611ff11a45a953264f82c50ca258be781aed867fa6740f941b,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-03/ENTR-03_Consentimiento_Original.pdf,ENTR-03_Consentimiento_Original.pdf,consentimiento,2026-07-27,2026-08-02 17:01,ENTR-03,NO_APLICA,PDF,168,91be16f0e19349e1c6125f3a39300d1e0ff097746195fd296804c7a0c7b9a5d7,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-03/ENTR-03_Video.mp4,ENTR-03_Video.mp4,video,2026-07-27,2026-07-28 01:31,ENTR-03,00:22:17,MP4; códec interno pendiente,72347,4f9c1f5dceb9a32eb83aac1807a00f326b7fe4e62700855b6178fa7aee3a2204,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
Entrevistas/ENTR-04/ENTR-04_Audio.mp3,ENTR-04_Audio.mp3,audio,2026-07-27,2026-07-31 23:33,ENTR-04,00:24:41,MP3,22575,dd9192e153a84300d7449e0f6bcb442dd3022b68e9277440aaf87fc7aa56a474,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-04/ENTR-04_Consentimiento_Original.pdf,ENTR-04_Consentimiento_Original.pdf,consentimiento,2026-07-27,2026-08-02 17:01,ENTR-04,NO_APLICA,PDF,224,ada96f48ef75453437819de6355ac4ed672c55561646026f4029fa2f5a692bf2,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-04/ENTR-04_Video.mp4,ENTR-04_Video.mp4,video,2026-07-27,2026-07-28 01:39,ENTR-04,00:24:04,MP4; códec interno pendiente,77065,8665b30707c294516ad94b8498a835b9f7d662e9c6b62a62458abbd7549dfb62,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
Entrevistas/ENTR-05/ENTR-05_Audio.mp3,ENTR-05_Audio.mp3,audio,2026-07-28,2026-08-01 11:42,ENTR-05,00:20:40,MP3,18900,8a2ebffe96d443be570892bb7b55e6abe507d659a1a67e516fd52af246e1f2ad,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-05/ENTR-05_Consentimiento_Original.pdf,ENTR-05_Consentimiento_Original.pdf,consentimiento,2026-07-28,2026-08-02 13:12,ENTR-05,NO_APLICA,PDF,5364,2d7d55c153bece3054076629aa9b4aed0ae0dda394c1fddfb6be0ca2aa96c316,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-05/ENTR-05_Video.mp4,ENTR-05_Video.mp4,video,2026-07-28,2026-08-01 22:00,ENTR-05,00:20:09,MP4; códec interno pendiente,66637,29e811ecdcb7119d826db2cff1ec0bf17c7f4a80c1f7ab7c9eff0f53213680a6,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
Entrevistas/ENTR-06/ENTR-06_Audio.mp3,ENTR-06_Audio.mp3,audio,2026-07-29,2026-07-31 23:34,ENTR-06,00:28:33,MP3,26110,8d404d41c1bbf53c6fed764f0388dadd15a8da1ff3758bbc84a6782309920dd9,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-06/ENTR-06_Consentimiento_Original.pdf,ENTR-06_Consentimiento_Original.pdf,consentimiento,2026-07-29,2026-08-02 17:01,ENTR-06,NO_APLICA,PDF,179,40e7b7f99be3df91f840feb236551c6904393ce9c1df8f69387fec5f53c620ef,FECHA_CONFIRMADA,Fecha de sesión confirmada mediante el consentimiento censurado.
Entrevistas/ENTR-06/ENTR-06_Video.mp4,ENTR-06_Video.mp4,video,2026-07-29,2026-07-31 21:56,ENTR-06,00:27:51,MP4; códec interno pendiente,94861,926e6e87923106432c0ba44e17323e80d2c5a4d7fda5262d0d0fd7f9222ecca8,PENDIENTE_CODEC_VIDEO,"Fecha de sesión confirmada mediante el consentimiento censurado. Verificar el códec interno del MP4 (por ejemplo, H.264) antes de cerrar la ficha."
